,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth_intensity
10,"MSS dt (5-129, 9w).csv",9.0,0.0654983578689916,0.9345016421310084,5.925196249034307e-05,0.0042778927438336,0.9957221072561664,5.573573804001335e-05,1.2763198426518119,-0.2763198426518118,1.4453847191635079,-0.3708804825635377,1.3708804825635383,0.9190834147938473,(0.9999932296355232+4.009471168428154e-08j),(0.9999921919215398-2.3461395665095545e-07j),-3270.4466227480134,19136.998121362478,25.800267015552134
11,"MSS dt (6-129, 10w).csv",10.0,0.3748351607305935,0.6251648392694066,9.654881114571968e-05,0.0463044811891928,0.9536955188108072,6.449623670014829e-05,0.8662657587791514,0.1337342412208489,0.613699555563817,0.3136845716588272,0.6863154283411727,0.864170390268448,(0.9999929713069824-2.8291270033732794e-08j),(0.9999926231882884-1.2044693546020896e-07j),2307.663146792159,9824.619176663544,28.903808631796917
12,"MSS dt (7-129, 11w).csv",11.0,0.3226808522765127,0.6773191477234872,9.833244850290817e-05,0.039206997584182,0.960793002415818,7.036542519033485e-05,-2.5004470986349445,3.5004470986349383,0.9818611517932889,-0.03878691645173404,1.038786916451734,0.916589880977615,(0.9999908503232926-5.897683360405228e-07j),(0.9999924011360058-1.7922969044317241e-07j),48106.240992464824,14619.412665232849,31.984510497057297
13,"MSS dt (8-129, 12w).csv",12.0,0.4879881077093487,0.5120118922906512,0.00013947239372210193,0.0500167625358621,0.949983237464138,7.751313175585021e-05,0.8831045108887741,0.1168954891112258,0.7050316258200537,0.15643323333815878,0.843566766661843,0.9077871529171456,(0.9999929819151686-2.548301951456357e-08j),(0.9999925241220686-1.4667222517313901e-07j),2078.599685790945,11963.764379841658,34.921429742345865
14,"MSS dt (9-129, 13w).csv",13.0,0.4317244276180931,0.5682755723819068,0.00013685016210998724,0.0440313183054879,0.955968681694512,8.33596198068239e-05,3.4243014775201033,-2.4243014775201033,1.019161333619811,-0.03532410382165057,1.0353241038216463,0.9298642668414007,(0.9999945828349772+3.983202204402184e-07j),(0.9999924033175268-1.7865218652228074e-07j),-32490.195464397173,14572.306808416219,37.84749750578408
15,"MSS dt (10-129, 14w).csv",14.0,0.5312828731677839,0.4687171268322161,0.00017621095976699206,0.0632001396877642,0.9367998603122356,9.14151443331683e-05,0.8774290445848366,0.1225709554151634,0.7766268471095524,0.26156160669661704,0.7384383933033815,0.9118797592553645,(0.9999929783397016-2.6429534499213276e-08j),(0.9999925903515222-1.291396427619639e-07j),2155.8050479170824,10533.666181700533,40.92556419561072
16,"MSS dt (11-129, 15w).csv",15.0,0.3461057197248142,0.6538942802751858,0.00013791056551508692,0.0361231221882552,0.9638768778117448,9.515136643922182e-05,1.198061543481959,-0.19806154348195903,1.2777190718409113,-0.6263774981091524,1.6263774981091563,0.960733910127922,(0.9999931803338505+2.7043334251897765e-08j),(0.9999920309618698-2.77223980355867e-07j),-2205.8714842096647,22612.613789040966,44.01246332049768
17,"MSS dt (12-129, 16w).csv",16.0,0.1088553619957838,0.8911446380042162,0.0001092846443653284,0.0191853463955329,0.9808146536044672,9.96462400534115e-05,1.2518519779612143,-0.25185197796121434,1.2619390978119922,-0.33936811905251413,1.3393681190525168,0.9548916887202128,(0.9999932142210984+3.60141305774984e-08j),(0.9999922117739058-2.293585427928524e-07j),-2937.601662928534,18708.32436910516,46.875991279518004
18,"MSS dt (13-129, 17w).csv",17.0,0.0637052807025331,0.9362947192974668,0.00011053604134947468,0.0111162031289367,0.9888837968710632,0.00010486366468455526,-3.879256576892731,4.879256576892721,0.9886788329953863,-0.14299427163844855,1.142994271638445,0.9502456389747725,(0.9999899816919173-8.197166367189354e-07j),(0.9999923354867744-1.966086718189415e-07j),66862.67075013736,16036.981929597125,49.61527363109477
19,"MSS dt (14-129, 18w).csv",18.0,0.1347138941349717,0.8652861058650283,0.00012603452331890215,0.0227481394926057,0.9772518605073942,0.00011210622643452333,0.6411513017481797,0.3588486982518211,0.8770298679972627,0.19116471867845078,0.8088352813215497,0.9353955442055829,(0.9999928294879118-6.583430093733792e-08j),(0.9999925460024345-1.4087994845907912e-07j),5369.974196519808,11491.299782348478,52.0447967009287
20,"MSS dt (15-129, 19w).csv",19.0,0.1665645384831367,0.8334354615168632,0.00013764995666902367,0.0284575644601414,0.9715424355398586,0.00011878007124960136,0.5121634203172666,0.4878365796827318,0.9156161496072928,0.12436361351531323,0.8756363864846898,0.9438134297709437,(0.9999927482272841-8.734600694955982e-08j),(0.9999925039186419-1.520205743816057e-07j),7124.641665666368,12400.018685492749,54.0362395493941
21,"MSS dt (16-129, 20w).csv",20.0,0.1777223500135603,0.8222776499864397,0.00014648596244973958,0.0337395952380419,0.9662604047619582,0.0001254400843518293,0.3515420952468527,0.6484579047531482,0.9396801875555304,0.1279436129346029,0.8720563870653989,0.9469068190073262,(0.9999926470380187-1.1413331972559795e-07j),(0.9999925061739919-1.5142352685917656e-07j),9309.62998259778,12351.318695610691,56.28119308867342
22,"MSS dt (17-129, 21w).csv",21.0,1.7921305222852997,-0.7921305222852995,-0.00017418147377979917,0.0720292456991327,0.9279707543008672,0.00013665708855982813,1.0546433059885105,-0.0546433059885103,-0.8409962280772044,0.5002235206211512,0.49977647937884695,0.9179186068852326,(0.9999930899822959+3.1250333423461265e-09j),(0.9999927407053081-8.933726077301159e-08j),-254.90281164579378,7287.064316145107,60.11260401968804
