"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1137","68.1900","63.0000",,,"3.5200","7.9373","1.3741","4.5724"
"1138","68.2500","50.0000",,,"3.5200","7.0711","1.3731","4.5760"
"1139","68.3100","46.0000",,,"3.5200","6.7823","1.3720","4.5795"
"1140","68.3700","44.0000",,,"3.5200","6.6332","1.3710","4.5830"
"1141","68.4300","44.0000",,,"3.5200","6.6332","1.3699","4.5866"
"1142","68.4900","50.0000",,,"3.5200","7.0711","1.3689","4.5901"
"1143","68.5500","43.0000",,,"3.5200","6.5574","1.3678","4.5936"
"1144","68.6100","53.0000",,,"3.5200","7.2801","1.3668","4.5972"
"1145","68.6700","45.0000",,,"3.5200","6.7082","1.3657","4.6007"
"1146","68.7300","45.0000",,,"3.5200","6.7082","1.3647","4.6042"
"1147","68.7900","36.0000",,,"3.5200","6.0000","1.3636","4.6077"
"1148","68.8500","57.0000",,,"3.5200","7.5498","1.3626","4.6113"
"1149","68.9100","43.0000",,,"3.5200","6.5574","1.3615","4.6148"
"1150","68.9700","35.0000",,,"3.5200","5.9161","1.3605","4.6183"
"1151","69.0300","56.0000",,,"3.5200","7.4833","1.3595","4.6218"
"1152","69.0900","47.0000",,,"3.5200","6.8557","1.3584","4.6253"
"1153","69.1500","29.0000",,,"3.5200","5.3852","1.3574","4.6289"
"1154","69.2100","32.0000",,,"3.5200","5.6569","1.3564","4.6324"
"1155","69.2700","56.0000",,,"3.5200","7.4833","1.3553","4.6359"
"1156","69.3300","42.0000",,,"3.5200","6.4807","1.3543","4.6394"
"1157","69.3900","36.0000",,,"3.5200","6.0000","1.3533","4.6429"
"1158","69.4500","55.0000",,,"3.5200","7.4162","1.3523","4.6464"
"1159","69.5100","41.0000",,,"3.5200","6.4031","1.3512","4.6499"
"1160","69.5700","43.0000",,,"3.5200","6.5574","1.3502","4.6535"
"1161","69.6300","37.0000",,,"3.5200","6.0828","1.3492","4.6570"
"1162","69.6900","45.0000",,,"3.5200","6.7082","1.3482","4.6605"
"1163","69.7500","58.0000",,,"3.5200","7.6158","1.3472","4.6640"
"1164","69.8100","42.0000",,,"3.5200","6.4807","1.3462","4.6675"
"1165","69.8700","47.0000",,,"3.5200","6.8557","1.3452","4.6710"
"1166","69.9300","46.0000",,,"3.5200","6.7823","1.3441","4.6745"
"1167","69.9900","39.0000",,,"3.5200","6.2450","1.3431","4.6780"
"1168","70.0500","41.0000",,,"3.5200","6.4031","1.3421","4.6815"
"1169","70.1100","43.0000",,,"3.5200","6.5574","1.3411","4.6850"
"1170","70.1700","54.0000",,,"3.5200","7.3485","1.3401","4.6885"
"1171","70.2300","50.0000",,,"3.5200","7.0711","1.3391","4.6920"
"1172","70.2900","48.0000",,,"3.5200","6.9282","1.3381","4.6955"
"1173","70.3500","42.0000",,,"3.5200","6.4807","1.3371","4.6989"
"1174","70.4100","42.0000",,,"3.5200","6.4807","1.3362","4.7024"
"1175","70.4700","51.0000",,,"3.5200","7.1414","1.3352","4.7059"
"1176","70.5300","53.0000",,,"3.5200","7.2801","1.3342","4.7094"
"1177","70.5900","50.0000",,,"3.5200","7.0711","1.3332","4.7129"
"1178","70.6500","49.0000",,,"3.5200","7.0000","1.3322","4.7164"
"1179","70.7100","77.0000",,,"3.5200","8.7750","1.3312","4.7199"
"1180","70.7700","76.0000",,,"3.5200","8.7178","1.3302","4.7233"
"1181","70.8300","82.0000",,,"3.5200","9.0554","1.3293","4.7268"
