,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth,corrected_depth_intensity
12,"MSS p (6-129, 8w)_01.csv",8.0,0.7082019770610626,0.2917980229389375,4.4656792937453735e-05,0.1459432174038634,0.8540567825961365,4.832739509791844e-05,1.0356864268297838,-0.035686426829782396,0.880934620221178,0.4121435647479208,0.5878564352520794,0.8803245943202246,(0.9999930605071841-1.9948829713708771e-07j),(0.9999926782391868-1.8339697170494443e-07j),16271.867292302024,14959.329585846255,20.131820490166266,21.87673107819534
13,"MSS p (6-129, 9w)_01.csv",9.0,0.6417472728765196,0.3582527271234805,5.065017545416324e-05,0.1478271655317074,0.8521728344682925,5.4306389580789786e-05,0.14659216535333353,0.8534078346466665,0.8816710413543716,0.16305486072010927,0.8369451392798904,0.8899025597351377,(0.9999925154407528-1.7654407634446742e-07j),(0.9999925255333412-1.7696891736943328e-07j),14400.352415385547,14435.005860614065,22.793080363533896,24.675205986350594
14,"MSS p (6-129, 10w)_01.csv",10.0,0.5819684952117358,0.4180315047882643,5.668550677636818e-05,0.1351045082570712,0.8648954917429287,6.039444524344231e-05,0.08028840251874017,0.9197115974812599,0.8935295516362741,0.021616455462522374,0.9783835445374773,0.899195105806298,(0.9999924747926947-1.7483302247788174e-07j),(0.9999924388233826-1.7331891743197207e-07j),14260.785123235424,14137.282558286885,25.92952791487413,27.78719875486714
15,"MSS p (10-35, 11w)_01.csv",11.0,-0.4328194340650029,1.432819434065003,7.238191310120319e-05,1.3193033191767067,-0.3193033191767066,5.655653746611175e-05,-4.097592557998379,5.097592557998379,0.7831446330675378,-17.31559735922889,18.315597359228885,1.0678596666146722,(0.9999899135089736-6.701743153682235e-08j),(0.9999818101041917+2.7409018071310603e-07j),5466.4798280809555,-22356.995927544922,28.981959226501477,30.854062603869874
16,"MSS p (10-35, 12w)_01.csv",12.0,0.4937657432420021,0.5062342567579979,6.870323985156345e-05,0.107101255382413,0.892898744617587,7.260893301739473e-05,-17.73780940175539,18.737809401755385,1.0535443926310852,-4.163784745305534,5.163784745305533,0.7789198259195277,(0.9999815512636836+2.8498590543518883e-07j),(0.9999898729293157-6.530925702020814e-08j),-23245.738722363356,5327.147398834052,31.279045621823812,33.55430641927804
17,"MSS p (10-35, 13w)_01.csv",13.0,0.5098861352771076,0.4901138647228924,7.416747391199557e-05,0.1056125167906403,0.8943874832093596,7.857678331581697e-05,0.7125720283483683,0.287427971651631,0.9263257359025632,0.08749950870814667,0.9125004912918517,0.9240507176981759,(0.999992862419286-1.91149914559158e-07j),(0.9999924792135202-1.7501911434658164e-07j),15591.721856766646,14275.964270258673,33.567646230854606,36.244541282628425
18,"MSS p (12-37, 14w)_01.csv",14.0,0.5811870124203815,0.4188129875796185,7.898118134764675e-05,0.1113349176902128,0.8886650823097871,8.443375032225796e-05,1.6797593739770422,-0.6797593739770421,0.9390524761276617,0.18810636868822225,0.8118936313117787,0.9306323954095758,(0.9999934553613136-2.1610942781603253e-07j),(0.9999925408913721-1.7761540374878986e-07j),17627.62016872235,14487.738480633083,36.02238798401189,38.93732909648576
19,"MSS p (15-40, 15w)_01.csv",15.0,0.5794335138110366,0.4205664861889634,8.451802882898573e-05,0.1091429824753955,0.8908570175246044,9.036016753164716e-05,0.5544204730646038,0.44557952693539704,0.9344891550589488,0.0779144502760023,0.9220855497239973,0.9344133884289937,(0.9999927654631973-1.8706861029216062e-07j),(0.9999924733373237-1.7477175958735525e-07j),15258.81791019353,14255.788029977844,38.49019664618595,41.62025065025675
20,"MSS p (15-40, 16w)_01.csv",16.0,0.8421932504082751,0.1578067495917248,8.687198878569395e-05,0.2748617626672824,0.7251382373327177,9.394365057644123e-05,10.276480749452082,-9.276480749452086,0.9729031188348266,4.453583010709244,-3.4535830107092425,0.9618549734568999,(0.9999987256508973-4.3795887829385393e-07j),(0.999995155876336-2.876915138991041e-07j),35723.44267486428,23466.429873180612,40.89653499189038,44.237204617154944
21,"MSS p (15-40, 17w)_01.csv",17.0,0.7764846225622837,0.2235153774377163,9.295655245229361e-05,0.210613152744187,0.789386847255813,0.00010057426928011352,-0.16166632697825034,1.1616663269782512,0.9345440046335375,-0.6996712762630974,1.699671276263096,0.9340724148320175,(0.9999923264603912-1.685890695294299e-07j),(0.9999919966321024-1.547051599387693e-07j),13751.478185361439,12618.995039233327,43.26458012085652,46.81300778981319
22,"MSS p (15-40, 18w)_01.csv",18.0,0.7275839728448344,0.2724160271551656,9.889606189668343e-05,0.2188416111452259,0.7811583888547741,0.00010617363711570415,-0.03773778528535861,1.0377377852853604,0.939941901320653,0.36663886527918427,0.6333611347208158,0.9472621642462089,(0.9999924024357874-1.7178720491991976e-07j),(0.9999926503421626-1.8222266441611013e-07j),14012.343787021791,14863.54365434791,45.74517625316033,49.41317707494811
23,"MSS p (17-41, 19w)_01.csv",19.0,0.4826998018210682,0.5173001981789318,0.00010774802280003303,0.1122732891332538,0.8877267108667461,0.00011361167055128857,-2.2532002320256934,3.253200232025692,0.9178457230739375,-1.408928040131759,2.4089280401317583,0.9345310794261527,(0.999991044228608-1.1461434739707839e-07j),(0.9999915618165063-1.3640187704294024e-07j),9348.866461862906,11126.032321276367,48.39166911428283,52.053301590903175
24,"MSS p (18-42, 20w)_01.csv",20.0,0.4377406592742418,0.5622593407257581,0.00011390639595467998,0.1093290390480965,0.8906709609519035,0.00011940447550282032,-0.34887271970719247,1.3488727197071904,0.9459347905529626,0.051584790192100806,0.9484152098079001,0.9514858641006725,(0.9999922116919946-1.63757967817638e-07j),(0.9999924571957138-1.7409228884894751e-07j),13357.414738742966,14200.364940788933,51.02595098006389,54.68546390786155
25,"MSS p (19-44, 21w)_01.csv",21.0,0.3319690590677812,0.6680309409322188,0.00012114748617712884,0.1093408545461245,0.8906591454538755,0.00012511152801326344,-1.331877323694548,2.3318773236945507,0.9402291335054058,0.10958806154873324,0.8904119384512662,0.9543842793620256,(0.9999916090530745-1.3839026986782436e-07j),(0.9999924927550872-1.7558913785851214e-07j),11288.221605739735,14322.459964856995,53.66552877012212,57.34808198311229
26,"MSS p (20-48, 22w)_01.csv",22.0,0.219116966675131,0.7808830333248691,0.00012870412032244634,0.0941643375844826,0.9058356624155174,0.00013107304522686525,-1.5901207230534933,2.5901207230534955,0.9412867736760437,-0.22433800988136418,1.2243380098813654,0.9545175958696662,(0.9999914507348688-1.3172596684635517e-07j),(0.9999922880390094-1.6697174615633094e-07j),10744.627540737947,13619.556304862757,56.287450209476454,59.99290878916851
27,"MSS p (21-48, 23w)_01.csv",23.0,0.1899711147475833,0.8100288852524167,0.0001348123777488348,0.0894109223320198,0.91058907766798,0.00013681073672888554,-0.42414695060730184,1.4241469506073,0.9546906780490987,-0.019177106869053363,1.0191771068690492,0.9580611022262783,(0.9999921655445188-1.6181541948659976e-07j),(0.9999924138145554-1.7226618709548394e-07j),13198.964899302931,14051.413419215814,62.43899062455247,66.29863271203952
28,"MSS p (22-50, 24w)_01.csv",24.0,0.0564066872778575,0.9435933127221424,0.0001431111562561277,0.0734907805852299,0.92650921941477,0.00014274990992877703,-2.1133268504990426,3.1133268504990426,0.9420116591578613,-0.29323472949863294,1.2932347294986366,0.9583945572865528,(0.9999911299791178-1.1822395988454255e-07j),(0.9999922458013204-1.651937777054263e-07j),9643.295439480027,13474.530921929443,69.18077810527883,72.83579492754227
29,"MSS p (21-129, 25w)_01.csv",25.0,0.2106874449771383,0.7893125550228618,0.0001453768092901626,0.1272781821817225,0.8727218178182774,0.00014715430930476359,9.955912018527476,-8.955912018527465,0.9844153063676561,1.8705684875669857,-0.8705684875669861,0.9700695182030664,(0.9999985291236566-4.29686189940959e-07j),(0.9999935723383837-2.2103350237274096e-07j),35048.65578781008,18029.267227091394,73.60509824683828,75.3973377713536
