,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth,corrected_depth_intensity
10,"MSS p (full, 5w).csv",5.0,1.6657256944306156,-0.6657256944306155,2.4762855980733808e-05,0.0589564754640574,0.9410435245359426,3.065435620688323e-05,4.007593347279931,-3.007593347279931,0.8440502596961841,-0.661900180830122,1.6619001808301226,0.7765109156334933,(0.9999948824587626-2.7618217709160326e-07j),(0.99999201978798-1.5567989163004627e-07j),22527.635949718708,12698.501982516123,26.404512079571678,13.851845221831633
11,"MSS p (full, 6w).csv",6.0,1.347137689683648,-0.3471376896836479,3.087540885387238e-05,0.0795210981967362,0.920478901803264,3.6653067279134374e-05,0.056490550514165974,0.943509449485834,0.8020252006356204,0.1846095518520204,0.8153904481479803,0.8363380879813557,(0.9999924602032291-1.7421888830286602e-07j),(0.9999925387476201-1.7752516389342519e-07j),14210.691408772287,14480.37779345472,50.833655080942115,16.6569242069574
12,"MSS p (full, 7w).csv",7.0,1.1115556319140458,-0.1115556319140456,3.708390216716025e-05,0.0940819489957336,0.9059180510042664,4.2642014591025914e-05,-0.06001563106941646,1.0600156310694175,0.8325825236701812,0.18319608144391614,0.8168039185560828,0.8595528994272253,(0.9999923887781729-1.7121229646015234e-07j),(0.9999925378810788-1.7748868747182082e-07j),13965.449636854531,14477.402483623706,72.81259413507242,19.362625653919434
13,"MSS p (full, 8w).csv",8.0,5.80951737606867,-4.80951737606867,2.643802799865906e-05,0.0621448059617255,0.9378551940382746,4.8926766273835595e-05,-10.555390845443728,11.55539084544373,1.4026727776005514,-0.1545485795505268,1.1545485795505277,0.8715477812771256,(0.9999859545034901+9.963435799930224e-08j),(0.9999923308239839-1.687727521552255e-07j),-8126.978245767709,13766.460815188559,88.26402598353751,21.958244763433353
14,"MSS p (full, 9w).csv",9.0,10.854612167701836,-9.854612167701836,2.1173905021628998e-05,0.062685177810728,0.937314822189272,5.499065826543467e-05,-14.483389611340748,15.483389611340748,1.2486137050134491,0.06704519068591334,0.9329548093140858,0.8897286887832976,(0.9999835464120697+2.0100141755968784e-07j),(0.9999924666738357-1.7449126436576508e-07j),-16395.289543467472,14232.908587487525,90.47077545146202,24.70289488666465
15,"MSS p (full, 10w).csv",10.0,36.9157585888886,-35.9157585888886,9.458140266466583e-06,0.0536116802245706,0.9463883197754294,6.112378836464908e-05,-10.184558855930673,11.184558855930673,2.2386964482542235,-0.02774279896649343,1.0277427989664931,0.8996605043092927,(0.9999861818450402+9.00645616199797e-08j),(0.9999924085632925-1.7204513839543013e-07j),-7346.388813036829,14033.382912343828,92.7474886409482,27.82420318153055
16,"MSS p (full, 11w).csv",11.0,5.580649392545976,-4.580649392545976,3.692286214869582e-05,0.0858231244328664,0.9141768755671336,6.684528190940136e-05,-5.210352217261687,6.210352217261687,0.25615945558003445,0.4299440228149724,0.5700559771850273,0.9144069202594299,(0.9999892313226617-3.830123752061086e-08j),(0.9999926891519011-1.8385633541675366e-07j),3124.1564693794317,14996.7989786113,95.59046012751344,30.90128783022887
17,"MSS p (full, 12w).csv",12.0,34.401817439164674,-33.401817439164674,1.2017113528078643e-05,0.0473852702876528,0.9526147297123472,7.325206049199274e-05,-8.325668128917341,9.32566812891734,3.0725233694783305,-0.3536570262747482,1.353657026274749,0.9125379062437197,(0.9999873214530375+4.209349587592588e-08j),(0.9999922087589397-1.6363450263404446e-07j),-3433.4835105211214,13347.343927013728,98.41177620876479,33.62085895151347
18,"MSS p (full, 13w).csv",13.0,30.91858404063273,-29.91858404063273,1.4206045975389004e-05,0.0463205738177329,0.953679426182267,7.926793747488452e-05,11.79583256130459,-10.795832561304591,0.8459154326895368,0.03335634425619461,0.9666436557438035,0.9241070579791753,(0.9999996571018173-4.771677056851384e-07j),(0.9999924460206149-1.7362188035978948e-07j),38921.62946152739,14161.994647300027,99.66348485403884,36.33036010986662
19,"MSS p (full, 14w).csv",14.0,17.39518148492134,-16.39518148492134,2.385437384848948e-05,0.0502597321870056,0.9497402678129944,8.519831135056284e-05,-2.516463411158828,3.5164634111588273,0.5955321261257321,0.10291222355854858,0.8970877764414521,0.9303932932276463,(0.9999908828329866-1.0782050250309966e-07j),(0.9999924886624119-1.75416859274048e-07j),8794.70592159153,14308.407540208846,100.91017077897057,39.02945295433656
20,"MSS p (full, 15w).csv",15.0,6.359207286339847,-5.359207286339847,4.709618557551598e-05,0.0517275885940065,0.9482724114059936,9.112919553429714e-05,-4.967631490566784,5.967631490566784,0.5065033092805443,0.07281363298593045,0.9271863670140716,0.9349178476890847,(0.9999893801245667-4.4564958011827236e-08j),(0.9999924702102289-1.7464012643753433e-07j),3635.075806763444,14245.05097333897,103.47096254514057,41.716893681704796
21,"MSS p (12-129, 16w).csv",16.0,0.7651929460629572,0.2348070539370428,8.77686930484514e-05,0.1388527340482151,0.8611472659517849,9.581346767532015e-05,-5.71232107632893,6.71232107632893,0.5365943588736958,1.833810707671987,-0.8338107076719886,0.9511105040379454,(0.9999889235865922-2.5347285580427947e-08j),(0.9999935498037282-2.200849205920454e-07j),2067.5281362563915,17951.893280484557,106.17647418491865,44.48216353528665
22,"MSS p (13-129, 17w).csv",17.0,0.8203222766389922,0.1796777233610078,9.241429367006479e-05,0.2118846000056584,0.7881153999943417,0.00010055575391436878,1.8618731303183158,-0.8618731303183159,0.949730713322346,1.6874252939781094,-0.68742529397811,0.9528392354047979,(0.9999935670076249-2.2080910749670972e-07j),(0.9999934600609669-2.1630725674003303e-07j),18010.963779238795,17643.75668421781,108.24919104618809,47.28115336344799
23,"MSS p (14-129, 18w).csv",18.0,0.7648322699914802,0.2351677300085198,9.840222509833424e-05,0.2175143057379807,0.7824856942620193,0.00010619402540326068,-0.09156861427166078,1.0915686142716625,0.9391484143545976,0.3179172936652202,0.6820827063347797,0.9469059444024166,(0.999992369434362-1.7039803115148215e-07j),(0.9999926204730087-1.8096534160467067e-07j),13899.031620191121,14760.98631025836,110.12926874837575,50.027966385300076
24,"MSS p (15-129, 19w).csv",19.0,0.9590138048848676,0.0409861951151323,0.00010104238919012605,0.103813821433713,0.896186178566287,0.00011375304227632816,8.196403013353022,-7.1964030133530255,0.9738707277910467,-1.4935251343226639,2.493525134322664,0.9335488816667851,(0.9999974504424118-3.842797973338493e-07j),(0.9999915099535743-1.34218740235481e-07j),31344.945819213175,10947.958153910526,113.23097627415741,52.705577388403725
25,"MSS p (16-129, 20w).csv",20.0,0.9130737335451762,0.0869262664548238,0.00010678937910632185,0.1092532413422247,0.8907467586577753,0.0001194058057302462,0.10536489197477895,0.8946351080252211,0.9461838811659915,0.21871307773123286,0.7812869222687674,0.9526592244041434,(0.9999924901660395-1.7548015353666026e-07j),(0.9999925596550618-1.7840524923587246e-07j),14313.570328484508,14552.164620570504,116.99790860355888,55.372513971822215
26,"MSS p (17-129, 21w).csv",21.0,0.9882382211347452,0.0117617788652549,0.00011079896226547896,0.1152406357316912,0.8847593642683087,0.00012500313520981236,2.9901343389901203,-1.990134338990117,0.9638120874313788,0.24296755513297974,0.7570324448670182,0.9552224872586492,(0.9999942586972896-2.4992533893040057e-07j),(0.9999925745244632-1.790311672164821e-07j),20385.917401783347,14603.219516835154,119.49725521918967,58.05485525325497
27,"MSS p (18-129, 22w).csv",22.0,0.7909235470704246,0.2090764529295753,0.00011887254281104752,0.0849627624581163,0.9150372375418836,0.00013125094609342655,-1.9169532125263777,2.9169532125263737,0.932082040523001,-0.5208220727724968,1.5208220727724966,0.9523979744940895,(0.9999912503675612-1.232916341489248e-07j),(0.9999921062770546-1.593205936349201e-07j),10056.655643031094,12995.466870804354,120.740425096882,60.71927097385277
28,"MSS p (19-129, 23w).csv",23.0,0.9409523598140406,0.0590476401859594,0.00012155303141596731,0.0812589562602689,0.918741043739731,0.00013697533390248827,7.59433131207777,-6.594331312077765,0.977947990488638,-0.0036633243100004393,1.0036633243099984,0.9582086230712394,(0.9999970813374937-3.687425628182351e-07j),(0.9999924233254073-1.7266654020514502e-07j),30077.60421694509,14084.069433448012,122.55774165923752,63.220999905165606
29,"MSS p (20-129, 24w).csv",24.0,0.8597993253717492,0.1402006746282508,0.00012789148910332158,0.0733328053431204,0.9266671946568796,0.00014275324199040175,-0.6964779003554491,1.6964779003554489,0.9504387842240736,-0.11457035128704901,1.1145703512870515,0.9595252058212312,(0.9999919985898286-1.5478756911074775e-07j),(0.9999923553329617-1.6980444174756639e-07j),12625.716992998767,13850.613702221744,125.47679013360049,65.67849089250102
30,"MSS p (21-129, 25w).csv",25.0,0.9220376462808874,0.0779623537191126,0.00013179933402870082,0.1253025580557611,0.8746974419442389,0.00014719693812314654,2.9589023869122237,-1.9589023869122262,0.9703500404294284,1.794825059943494,-0.7948250599434955,0.9698112189736776,(0.9999942395502832-2.4911935824273905e-07j),(0.9999935259032616-2.1907884581686872e-07j),20320.175145330206,17869.82974361173,128.19076876308915,68.27406470738963
